File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
repo_3\src\hotload.c,30,20,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","  char *xdg_home = getenv(""XDG_CONFIG_HOME"");",20c9fea1fadb77d5d151e349b8ce4ec81fd7db9e65b34b946c85b9f1e69b4de7,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
repo_3\src\hotload.c,36,16,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","  char *home = getenv(""HOME"");",2f3716cde34f6b7dacf69fb0d92308f35bfb576c5e2698afc4160c9e2396ca82,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
repo_3\src\misc\helpers.h,402,18,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","    char* home = getenv(""HOME"");",a208e1e33e7b3ba70a1e56986341dc6adf0d6b48306b8b94f57c874dfa37d281,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
repo_3\src\sketchybar.c,62,16,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","  char *user = getenv(""USER"");",edd178d82a2e837989596296bcf183bb4e34bc19542e928cffac686b9bee7ffc,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
repo_3\src\sketchybar.c,129,16,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","  char *user = getenv(""USER"");",edd178d82a2e837989596296bcf183bb4e34bc19542e928cffac686b9bee7ffc,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
repo_3\src\animation.c,206,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(animator->animations,",bde06ff8404148de12d7be73816fa2d76fcfaf800dd5fe9a56b148b60735f6d3,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\app_windows.c,146,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char payload[length];,e230585d32fd1a051ff2dd8aef93571a71cc8f25a7a0070f682838541501a817,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\background.c,116,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(clip, background, sizeof(struct background));",00ae9f2bbfcd422a0b41571a592c52d21347c48c5ace49738aca17b22014ee04,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\background.c,261,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char deeper_indent[strlen(indent) + 2];,ecb8c0d1dc3891a4252ae8591284de451aa71095175180d568ba89d851b5a65c,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_item.c,71,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char sid_str[32];,0fc8cc28fbc090c1d1b334f1e787ffd95a4e1c60034b2c7f46df753737a8ab7a,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_item.c,85,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char did_str[32];,f813f22d623ab787f4862abdf677a0a272a24ad248e1c7c5055af5a14e43acb2,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_item.c,182,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char perc_str[8];,868a97fe5bb20a2bf6c970c65cb9d23735286a9ea604f1321de5c81cb6e0b8a9,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_item.c,205,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char info_str[256];,2b6cf7a2653336cf182690ed98567804d59c16f593eb7f6810df88d17f8da329,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_item.c,264,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char info_str[256];,2b6cf7a2653336cf182690ed98567804d59c16f593eb7f6810df88d17f8da329,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_item.c,276,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char delta_ver_str[32];,0e2d0dc1c8e54903aed54f99d5c69baf9fcc2c0c40b8927edc79d9eca1c88ab8,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_item.c,768,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(bar_item, ancestor, sizeof(struct bar_item));",75adcff3d8af53af13ee5603ebd0b3388ffa017f7a29ed6ea5a78880d6e0acd9,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\bar_item.c,839,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char type[32] = { 0 };,ca40cd414a4acb3a8469d29dd35a021a4a5db1d044b01e595cc32dbff360f274,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_item.c,864,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char position[32] = { 0 };,1c38cc3a7542d82407e9951064662ac587d4f01939be5f2e41f1c85d37b15118,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_manager.c,141,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(bar_manager->bar_items,",7444cf1d7f4f57ad71182c440cf93cb099b86c10abe8167fb64ee7ca184d06f5,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\bar_manager.c,175,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(bar_manager->bar_items,",7444cf1d7f4f57ad71182c440cf93cb099b86c10abe8167fb64ee7ca184d06f5,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\bar_manager.c,809,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char delta_ver_str[32];,0e2d0dc1c8e54903aed54f99d5c69baf9fcc2c0c40b8927edc79d9eca1c88ab8,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_manager.c,815,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char info_str[256];,2b6cf7a2653336cf182690ed98567804d59c16f593eb7f6810df88d17f8da329,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_manager.c,827,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char adid_str[32];,4d1f5157c0e38249f774096a5cfacabc9b80d2e9348214c09f380d3850f2b77b,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_manager.c,860,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char volume_str[16];,d09f68d19bb61600a1d93dbd7e2ba405c5a72eda5fc5f710fbfae322f3349776,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_manager.c,882,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char brightness_str[16];,fd7b40aada3053e590ddc5333d0354533be9911b5938fd4f3025ffac3fc4261a,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_manager.c,947,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char info[19 * bar_manager->bar_count + 4];,4d12648ca4a3df99117bf3ceb51557a816e54be6d5859263f4f516c01c0cf0ec,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\bar_manager.c,1007,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char adid_str[3];,4efbf17e98d0ec352e83c753de5d9c8445a9297dba0f55f48abc2ff613189553,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\font.c,6,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char opentype_tag[5];,805f688cf52812fbec011513e112facbfe5fe33898d337685f9be95881352b55,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\font.c,214,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"  char font_properties[2][255] = { {}, {} };",cd5d2549094160e39a495b243be68365f0bc51152851655275e6b3d16a698ad8,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\group.c,98,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(group->members, tmp, sizeof(struct bar_item*)*group->num_members);",99efd6a89fd19e967c2c68f8cd60268ed7dd440e8884dfe397c64004b7ba11da,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\hotload.c,6,8,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,extern char g_config_file[4096];,76771a458b3b015a803db6de677e09dd5b10f6d9a1f6d916e0e7c9d1322d06a8,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\hotload.c,7,8,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,extern char g_name[256];,48b107953dece17cebfddd6896eae3ca9da6ab280b47f07453be700fb6905c21,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\image.c,61,20,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,    uint32_t sid = atoi(app_kv.value);,a9ba8eae52cf8f35e0beeee99e890261c8175cff50260ae4961ee6bf869ebd17,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
repo_3\src\mach.c,110,7,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"      memcpy(rsp, buffer.message.descriptor.address,",d3e67f6f49f32310e169078902f4c0f92dfc8facf51ef463c34825fa179f083e,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\mach.c,137,8,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,extern char g_name[256];,48b107953dece17cebfddd6896eae3ca9da6ab280b47f07453be700fb6905c21,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\mach.c,171,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char bs_name[256];,36fb0d21f30247b917d6acd7c0dc6a7613678cfe9574c8f7eb6a807831719290,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\message.c,18,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(regstring, &reg.text[1], reg.length - 2);",f7a3e26b1a0e8e18a86cc26b7fbe9d8429800563e7fef859d7d15aca290cbc0d,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\message.c,39,7,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,      char buf[1024];,5065f5757ec562d76d80e513ac33668b30265995d34290fc3fe7083c178c0622,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\message.c,483,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(rbr_msg, *message, sizeof(char) * (cursor - *message + 1));",9284c4aaf5212029124254b079961dff1461378655f92f418b1b76ffafba0d3a,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\env_vars.h,45,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(env_vars->vars,",041ead0de5d311e32939d138fcf11a3f35e3e4e4a23c9b1ceeb38f6f306e6716,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\env_vars.h,92,7,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"      memcpy(seri + caret,",0bc253f732189aa3350be12fbb11a1cd41e4e5a5f4ed74877bdfdca8d055c430,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\env_vars.h,103,7,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"      memcpy(seri + caret,",0bc253f732189aa3350be12fbb11a1cd41e4e5a5f4ed74877bdfdca8d055c430,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,152,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(cursor, key_value_pair->key, key_len);",f5d29727475a79fbfb713560c431a88ff0efe76537aad794cdd76b6e6d1076a8,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,155,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(cursor, key_value_pair->value, val_len);",a3562a9428b3cf2f993a84a79049d154c678a78a7f9765b8da1450968e26ed74,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,181,12,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    static char description[64];,e92a0253d6ce2e0d0cd46e2d6023150fe5fc29e32877bbaa9f4a02b4f0e129f6,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\misc\helpers.h,185,9,4,2,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",Risk is low because the source is a constant string.,CWE-120,"        strcat(description, ""shift,"");",2a8164c0fb67f9a95d9881e541f3a68b9cc017c176c55fc8c4168332075b8ce1,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,187,9,4,2,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",Risk is low because the source is a constant string.,CWE-120,"        strcat(description, ""ctrl,"");",6eb8c1337035f4abca66dc3f81b6abed40c94eba745a5a7755806a0b9373c10a,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,189,9,4,2,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",Risk is low because the source is a constant string.,CWE-120,"        strcat(description, ""alt,"");",289089b14c563394543766dd13a6a7c4536bcc888d23462cd844e02da8a7a752,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,191,9,4,2,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",Risk is low because the source is a constant string.,CWE-120,"        strcat(description, ""cmd,"");",b5853119e8fa580bcfc075e3beb3d87a91139c14f6f854353750b5fccf48efe1,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,232,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(result, token.text, token.length);",cb5d8f0ec023a82a99620f18609f16203719378d3fe3caf7bfa1281c6dcb45f6,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,238,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char buffer[token.length + 1];,8572b72234d55d5019b6ccf8928ea60efdd1f196587b29a6a9292ddb08d1394f,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\misc\helpers.h,239,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(buffer, token.text, token.length);",ab87c08cbb3c606c0389a2bf4857859aa670b183bae3c62b06ecffa4d97a91e8,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,245,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char buffer[token.length + 1];,8572b72234d55d5019b6ccf8928ea60efdd1f196587b29a6a9292ddb08d1394f,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\misc\helpers.h,246,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(buffer, token.text, token.length);",ab87c08cbb3c606c0389a2bf4857859aa670b183bae3c62b06ecffa4d97a91e8,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,252,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char buffer[token.length + 1];,8572b72234d55d5019b6ccf8928ea60efdd1f196587b29a6a9292ddb08d1394f,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_3\src\misc\helpers.h,253,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(buffer, token.text, token.length);",ab87c08cbb3c606c0389a2bf4857859aa670b183bae3c62b06ecffa4d97a91e8,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,384,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(result, s, length);",b144c71cea73e3ee75578d8a828499c9131eb7755b29ee250b8296837ff1a618,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_3\src\misc\helpers.h,390,12,2,2,misc,open,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",,,CWE-362,"  int fd = open(path, O_RDONLY);",bb31068080701367f68c27df45c3c690ffccf8263b5cbeee2e8f5391138acc54,2.0.19,FF1040,https://cwe.mitre.org/data/definitions/362.html
repo_3\src\misc\helpers.h,403,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char buf[512];,657ff8329591453022e3359353e72b30b702c62cf6567d962d837e05e108b31a,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
